Rice,Red Onion,White Onion,Garlic,White Corn,Yellow Corn,Diesel,Timestamp
50.0,140.0,150.0,160.0,30.0,24.0,58.75,2026-05-02 16:53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-02 16:57
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-02 16:58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-02 16:59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-02 17:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-02 17:01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-02 17:02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-02 17:03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-02 17:04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-02 17:05
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:07
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:09
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:11
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:13
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:15
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:17
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:19
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:21
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:23
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:25
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:27
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:29
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:31
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:34
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:36
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:37
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:39
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:41
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:43
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:45
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:46
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:48
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:49
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:49
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:49
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:49
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:50
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:50
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:50
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:51
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:53
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:55
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:57
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-02 17:59
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-03 17:40
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-03 17:41
52.0,145.0,160.0,130.0,28.0,22.0,86.31,2026-05-03 17:41
